agriculture_year,area_hectare,production_million_unit,year,productivity
1955-56,447952,3099,1955,0.006918151944851234
1956-57,459733,3132,1956,0.006812649951167308
1957-58,463282,3199,1957,0.006905081570188352
1958-59,475690,3248,1958,0.006827976202989342
1959-60,492550,3365,1959,0.0068317937265252255
1960-61,500769,3220,1960,0.006430110490066278
1961-62,504829,3247,1961,0.006431880894322632
1962-63,539270,3305,1962,0.006128655404528344
1963-64,544896,3262,1963,0.005986463471928588
1964-65,558991,3278,1964,0.00586413734747071
1965-66,586313,3293,1965,0.005616454010059473
1966-67,609600,3425,1966,0.005618438320209974
1967-68,638700,3593,1967,0.005625489275090026
1968-69,686100,3834,1968,0.0055881066899868825
1969-70,707800,3956,1969,0.005589149477253461
1970-71,719100,3981,1970,0.005536086775135586
1971-72,730300,4054,1971,0.005551143365740107
1972-73,745400,3921,1972,0.005260262946069225
1973-74,744300,3703,1973,0.004975144431009002
1974-75,748200,3719,1974,0.004970596097300187
1975-76,693000,3439,1975,0.0049624819624819625
1976-77,694985,3343,1976,0.004810175759189047
1977-78,699119,3367,1977,0.004816061357222447
1978-79,660628,3211,1978,0.004860526650399317
1979-80,662657,3032,1979,0.004575519461803014
1980-81,651370,3008,1980,0.004617959070881373
1981-82,666618,3006,1981,0.004509329181030215
1982-83,674378,3184,1982,0.004721387708377201
1983-84,682281,2602,1983,0.003813677942079583
1984-85,687483,3453,1984,0.005022669651467746
1985-86,704682,3377,1985,0.004792232524741657
1986-87,706107,3173,1986,0.004493653228193461
1987-88,775365,3346,1987,0.0043153869467928005
1988-89,816880,4215,1988,0.005159876603662717
1989-90,832174,4358,1989,0.005236885555184373
1990-91,870022,4232,1990,0.004864244812200151
1991-92,863061,4641,1991,0.005377371935471537
1992-93,877012,5124,1992,0.005842565438101189
1993-94,882293,5192,1993,0.005884666431672925
1994-95,910960,5336,1994,0.005857556863089488
1995-96,914370,5155,1995,0.00563776151885998
1996-97,902104,5276,1996,0.005848549612904942
1997-98,884344,5209,1997,0.005890241806355898
1998-99,882288,5132,1998,0.0058166947754021365
1999-00,925035,5680,1999,0.006140308204554423
2000-01,925783,5536,2000,0.005979803042397624
2001-02,905718,5479,2001,0.006049344277137034
2002-03,899198,5709,2002,0.006348990989748643
2003-04,898498,5876,2003,0.006539803093607331
2004-05,899267,6001,2004,0.006673212738819505
2005-06,897833,6326,2005,0.007045853738946998
2006-07,872943,6054,2006,0.00693516071496077
2007-08,818812,5641,2007,0.006889249302648227
2008-09,787769,5802,2008,0.007365103221883573
2009-10,778618,5667,2009,0.0072782802349804394
2010-11,770473,5287,2010,0.006862018526281907
2011-12,820867,5941,2011,0.007237469650990964
2012-13,798162,5799,2012,0.007265442353807873
2013-14,808647,5921,2013,0.00732210717408214
2014-15,793856,5947,2014,0.007491283053853596
2015-16,790223,5873,2015,0.007432079299134548
2016-17,781496,5384,2016,0.006889350681257486
2017-18,760443,5230,2017,0.006877570047985187
2018-19,760946,5299,2018,0.0069637004465494265
2019-20,760776,4814,2019,0.006327749560974584
2020-21,768809,4788,2020,0.006227814710805935
2021-22,765435,5535,2021,0.007231182268905916
