-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 in LST,,,,,,,,,,,,,,
Location: Latitude  10.8505   Longitude 76.2673 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.89 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_SW_DWN,1982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_SW_DWN,1983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_SW_DWN,1984,18.03,18.75,20.53,21.72,21.5,15.22,15.08,18.06,18.98,18.16,18.67,18.77,18.62
ALLSKY_SFC_SW_DWN,1985,19.74,21.72,22.91,22.75,19.73,13.36,15.16,15.52,18.92,18.87,18,18.03,18.71
ALLSKY_SFC_SW_DWN,1986,17.79,19.07,22.06,23.1,19.81,14.74,15.61,16.9,18.24,17.5,17.07,18.36,18.35
ALLSKY_SFC_SW_DWN,1987,19.74,21.28,22.51,22.64,19.5,15.79,17.34,15.83,19.68,17.94,17.99,16.92,18.91
ALLSKY_SFC_SW_DWN,1988,19.55,20.85,21.42,20.77,19.68,16.73,14.58,15.95,17.35,19.72,18.48,18.93,18.66
ALLSKY_SFC_SW_DWN,1989,20.13,22.45,22.83,22.55,19.93,15.14,14.93,16.94,18.88,18.15,19.04,18.76,19.12
ALLSKY_SFC_SW_DWN,1990,19.39,21.41,22.62,22.01,16.61,14.99,13.91,15.31,20.23,17.65,17.55,18.01,18.28
ALLSKY_SFC_SW_DWN,1991,19.02,20.95,22.28,22.31,20.77,12.94,13.51,14.73,19.74,17.46,17.9,18.28,18.3
ALLSKY_SFC_SW_DWN,1992,19.48,21.03,23.72,22.57,19.62,15.27,14.63,15.72,17.31,16.92,16.69,18.46,18.44
ALLSKY_SFC_SW_DWN,1993,19.34,20.72,22.54,22.99,18.67,16.35,14.75,17.1,19.71,15.71,16.43,17.15,18.43
ALLSKY_SFC_SW_DWN,1994,18.84,20.77,23.23,21.41,20.49,14.36,13,17.02,19.76,18.54,19.03,18.88,18.76
ALLSKY_SFC_SW_DWN,1995,19.17,20.63,22.25,21.9,18.3,15.68,14.09,15.73,18.29,19.16,17.83,19.56,18.53
ALLSKY_SFC_SW_DWN,1996,19.2,20.86,22.83,20.68,20.22,16.43,14.19,15.97,16.98,18.12,18.4,16.57,18.36
ALLSKY_SFC_SW_DWN,1997,19,21.39,22.71,22.25,19.14,17.35,13.66,15.32,19.32,17.79,17.14,16.83,18.46
ALLSKY_SFC_SW_DWN,1998,18.75,20.22,22.88,22.22,21.8,14.24,14.93,16.13,16.34,15.91,17.25,16.16,18.06
ALLSKY_SFC_SW_DWN,1999,20.58,21.98,23.6,20.55,18.04,16.07,14.07,17.5,19.9,15.96,18.37,18.26,18.71
ALLSKY_SFC_SW_DWN,2000,19.22,19.83,23.16,21.22,20.82,13.97,16.68,14.53,17.98,17.5,16.96,18.55,18.37
ALLSKY_SFC_SW_DWN,2001,18.27,21.09,22.21,19.86,19.82,13.74,14.63,15.16,18.85,16.35,17.43,18.1,17.94
ALLSKY_SFC_SW_DWN,2002,18.81,20.85,22.82,21.8,18.3,16.01,16.1,14.88,21.55,15.58,17.26,18.23,18.49
ALLSKY_SFC_SW_DWN,2003,19.93,21.37,22.59,21.32,19.63,16.5,14.19,16.52,20.89,16.73,17.39,19.26,18.84
ALLSKY_SFC_SW_DWN,2004,20.01,22.5,23.07,20.9,15.75,15.55,14.5,16.59,17.68,18.17,17.38,19.18,18.42
ALLSKY_SFC_SW_DWN,2005,19.24,22.84,21.89,19.69,19.95,15.04,13.04,17.71,16.66,16.78,15.72,17.49,17.98
ALLSKY_SFC_SW_DWN,2006,19.69,22.69,22.16,21.03,18.04,16.76,15.29,16.93,15.83,16.37,16.51,18.52,18.29
ALLSKY_SFC_SW_DWN,2007,19.43,22.32,23.3,22.16,20.36,15.72,12.82,15.64,14.97,16.6,18.8,17.22,18.25
ALLSKY_SFC_SW_DWN,2008,20.48,20.38,19.78,21.17,20.61,15.75,15.15,16.82,19.19,17.58,16.82,17.64,18.44
ALLSKY_SFC_SW_DWN,2009,20.53,22.78,21.91,20.41,19.1,16.58,13.67,16.97,16.72,18.88,16.32,16.89,18.37
ALLSKY_SFC_SW_DWN,2010,19.36,21.87,22.84,21.34,18.87,15.83,14.28,14.72,17.19,15.82,14.64,16.47,17.74
ALLSKY_SFC_SW_DWN,2011,19.69,21.16,23.57,20.51,20.66,14.56,13.83,14.69,17.41,18.79,17.2,17.33,18.27
ALLSKY_SFC_SW_DWN,2012,20.34,21.96,21.45,20.7,18.84,15.72,16.37,14.88,18.34,18.29,18.65,17.71,18.59
ALLSKY_SFC_SW_DWN,2013,20.31,21.34,21.57,21.47,18.19,12.75,12.36,16.34,17.1,17.78,17.45,18.01,17.87
ALLSKY_SFC_SW_DWN,2014,19.69,20.85,23,20.7,19.1,16.73,14.61,14.99,18.82,16.51,16.25,16.03,18.08
ALLSKY_SFC_SW_DWN,2015,19.55,22.09,21.96,20.58,17.78,15.83,16.67,17.99,19.47,17.65,15.49,16.85,18.47
ALLSKY_SFC_SW_DWN,2016,19.01,20.81,22.35,21.62,19.03,13.8,15.49,17.28,18.12,17.62,17.61,17.14,18.32
ALLSKY_SFC_SW_DWN,2017,18.73,22.97,21.74,22.13,19.21,15.01,16.55,15.56,17.65,17.09,16.48,17.95,18.39
ALLSKY_SFC_SW_DWN,2018,18.96,22.69,22.1,21.74,18.36,14.07,13.88,14.44,21.52,18.02,17.02,16.68,18.25
ALLSKY_SFC_SW_DWN,2019,19.85,21.58,23.55,22.67,20.65,17.21,15.85,13.45,16.73,17.18,17.59,16.86,18.57
ALLSKY_SFC_SW_DWN,2020,20.49,21.87,22.55,22.05,19.56,16.23,15.71,16.47,14.59,17.92,17.4,15.97,18.39
ALLSKY_SFC_SW_DWN,2021,17.06,22.08,23.61,20.35,17.74,17.76,14.89,16.13,16.77,14.59,13.43,18.05,17.68
ALLSKY_SFC_SW_DWN,2022,19.47,20.98,21.71,19.67,15.42,17.78,14.51,15.79,18.69,17.06,15.4,15.9,17.67
PRECTOTCORR,1981,0.26,0.11,0.88,1.91,5,24.48,13.92,13.72,9.66,7.9,3.75,0.99,6.9
PRECTOTCORR,1982,0,0,0.8,2.12,4.47,20.62,15.26,13.68,2.43,3.36,2.58,0.15,5.48
PRECTOTCORR,1983,0,0,0,0.06,0.56,9.98,12.74,10.75,9.55,3.76,2.47,1.88,4.33
PRECTOTCORR,1984,1,1.14,1.56,6.82,1.64,12.85,12.71,6.17,3.4,9.25,1.91,1.85,5.03
PRECTOTCORR,1985,2.34,0.11,0.59,1.27,5.63,18.95,9,7.7,2.83,4.37,2.83,0.83,4.72
PRECTOTCORR,1986,0.28,1.05,0.45,0.93,2.17,12.73,6.44,7.12,4.79,2.19,3.99,0.24,3.53
PRECTOTCORR,1987,0.03,0.04,0.07,0.82,2.64,12.05,4.88,9.35,1.96,8.81,6.61,2.69,4.18
