Target_Year,Agriculture Year,Agriculture_Year_Anchor,Coconut_Area_Hectare,Coconut_Production_MillionUnit,Coconut_Productivity_DeclaredMillionUnit_per_Hectare,Coconut_Productivity_Unit,Coconut_Productivity_Formula,ALLSKY_SFC_SW_DWN_Annual_Total,ALLSKY_SFC_SW_DWN_Jan_Feb_Total,ALLSKY_SFC_SW_DWN_Mar_May_Total,ALLSKY_SFC_SW_DWN_Jun_Sep_Total,ALLSKY_SFC_SW_DWN_Oct_Dec_Total,PRECTOTCORR_Annual_Total,PRECTOTCORR_Jan_Feb_Total,PRECTOTCORR_Mar_May_Total,PRECTOTCORR_Jun_Sep_Total,PRECTOTCORR_Oct_Dec_Total,RH2M_Annual_Mean,RH2M_Jan_Feb_Mean,RH2M_Mar_May_Mean,RH2M_Jun_Sep_Mean,RH2M_Oct_Dec_Mean,T2M_Annual_Mean,T2M_Jan_Feb_Mean,T2M_Mar_May_Mean,T2M_Jun_Sep_Mean,T2M_Oct_Dec_Mean,T2M_MAX_Annual_Mean,T2M_MAX_Jan_Feb_Mean,T2M_MAX_Mar_May_Mean,T2M_MAX_Jun_Sep_Mean,T2M_MAX_Oct_Dec_Mean,T2M_MIN_Annual_Mean,T2M_MIN_Jan_Feb_Mean,T2M_MIN_Mar_May_Mean,T2M_MIN_Jun_Sep_Mean,T2M_MIN_Oct_Dec_Mean,WS10M_Annual_Mean,WS10M_Jan_Feb_Mean,WS10M_Mar_May_Mean,WS10M_Jun_Sep_Mean,WS10M_Oct_Dec_Mean
1981,1981-82,start,666618,3006,0.004509329181030215,declared million unit per hectare,Production Million Unit / Area Hectare,,,,,,2519.85,11.14,239.57999999999998,1881.04,388.09,78.79323287671232,61.63508474576272,68.20739130434782,91.31016393442621,83.78413043478261,24.836356164383563,25.137627118644065,27.65945652173913,23.716147540983606,23.30554347826087,31.375479452054794,35.37677966101695,36.65097826086956,27.58729508196721,28.557391304347828,19.41819178082192,17.034745762711864,21.44478260869565,20.795737704918032,17.093369565217394,2.4184383561643834,1.9240677966101696,2.2510869565217395,3.189754098360656,1.8799999999999997
1982,1982-83,start,674378,3184,0.004721387708377201,declared million unit per hectare,Production Million Unit / Area Hectare,,,,,,2001.8200000000004,0.0,226.97,1588.64,186.21,76.70635616438356,61.44881355932203,69.1404347826087,89.8218032786885,76.66478260869565,24.97895890410959,24.901864406779662,27.409999999999997,23.63827868852459,24.375217391304346,32.03241095890411,34.8735593220339,36.21880434782609,28.06254098360656,31.288369565217387,19.967506849315065,17.00220338983051,21.924782608695654,20.695081967213117,18.947065217391305,2.3500821917808223,1.9464406779661017,2.1059782608695654,2.997213114754098,1.994891304347826
1983,1983-84,start,682281,2602,0.003813677942079583,declared million unit per hectare,Production Million Unit / Area Hectare,,,,,,1582.1899999999998,0.0,19.160000000000004,1314.0900000000001,248.94,75.22399999999999,55.53559322033898,62.71347826086956,88.59827868852459,82.62532608695652,25.37334246575342,26.012033898305084,28.439021739130432,23.919754098360656,23.825652173913046,32.684465753424654,36.06440677966101,37.99097826086957,29.41049180327869,29.55195652173913,19.850575342465753,17.774237288135595,22.006195652173915,20.326639344262293,18.395217391304346,2.494246575342466,2.2137288135593223,2.492173913043479,3.0705737704918032,1.91195652173913
1984,1984-85,start,687483,3453,0.005022669651467746,declared million unit per hectare,Production Million Unit / Area Hectare,6815.48,1102.68,1954.53,2053.34,1704.9299999999998,1842.04,64.06,303.8,1072.78,401.40000000000003,80.14428961748634,69.81333333333332,74.68032608695653,89.79155737704917,79.55271739130436,24.51237704918033,25.142,26.56173913043478,23.423688524590165,23.496086956521737,31.008333333333336,33.260999999999996,34.680543478260866,27.588278688524593,30.402282608695653,19.41308743169399,18.7785,21.298152173913046,20.081475409836067,17.05554347826087,2.4078142076502727,2.0535,2.1755434782608694,3.190737704918033,1.8329347826086957
1985,1985-86,start,704682,3377,0.004792232524741657,declared million unit per hectare,Production Million Unit / Area Hectare,6827.820000000001,1220.1,2004.3400000000001,1919.48,1683.9,1723.7400000000002,75.61999999999999,230.92000000000002,1171.1000000000001,246.1,78.43660273972603,67.02542372881356,69.35489130434782,90.28180327868853,79.12858695652174,24.730630136986296,25.10593220338983,27.463043478260868,23.17762295081967,23.81695652173913,31.765095890410958,34.73389830508474,37.13054347826087,27.148032786885246,30.618369565217396,19.128054794520544,17.326610169491524,21.40478260869565,19.938196721311474,16.93228260869565,2.4160273972602737,1.9745762711864407,2.484565217391304,2.981967213114754,1.880108695652174
1986,1986-87,start,706107,3173,0.004493653228193461,declared million unit per hectare,Production Million Unit / Area Hectare,6697.39,1085.45,1990.9700000000003,1997.2099999999996,1623.7599999999998,1288.1900000000003,38.080000000000005,109.12,945.96,195.03,76.7264383561644,62.959152542372884,68.96217391304349,88.54303278688525,77.64989130434783,25.166712328767126,25.375762711864407,27.629673913043476,23.698934426229513,24.51608695652174,32.404739726027394,33.964745762711864,36.79347826086956,28.79352459016393,31.804347826086957,19.72605479452055,17.73152542372881,21.811847826086957,20.439754098360655,17.972934782608693,2.5103561643835617,2.003050847457627,2.4113043478260874,3.231229508196721,1.978804347826087
1987,1987-88,start,775365,3346,0.0043153869467928005,declared million unit per hectare,Production Million Unit / Area Hectare,6902.02,1207.78,1981.5100000000002,2092.37,1620.3600000000001,1526.89,2.05,108.61,861.4299999999998,554.8000000000001,75.78928767123287,54.23627118644067,63.12760869565217,88.42295081967214,85.51967391304348,25.39290410958904,25.972542372881357,27.929891304347827,24.272131147540982,23.97043478260869,32.409808219178075,35.33033898305085,37.97380434782609,29.175081967213114,29.26239130434783,19.663643835616437,16.722881355932202,21.03054347826087,20.92204918032787,18.51391304347826,2.3862739726027398,2.1745762711864405,2.1858695652173914,3.0687704918032788,1.817391304347826
1988,1988-89,start,816880,4215,0.005159876603662717,declared million unit per hectare,Production Million Unit / Area Hectare,6829.28,1210.7000000000003,1897.2000000000003,1968.8300000000002,1752.5499999999997,1851.59,1.16,251.99999999999994,1478.3600000000001,120.07,78.1551912568306,64.5005,71.68184782608695,90.82836065573771,76.72804347826086,25.143196721311476,25.265833333333337,27.467391304347824,23.898688524590163,24.389347826086954,32.03412568306011,34.822,36.194673913043474,28.409180327868853,30.862391304347824,19.84893442622951,16.484166666666667,22.09695652173913,21.09467213114754,18.14336956521739,2.410546448087432,1.956,2.2546739130434785,3.1540983606557385,1.8768478260869568
1989,1989-90,start,832174,4358,0.005236885555184373,declared million unit per hectare,Production Million Unit / Area Hectare,6978.67,1252.63,2002.06,2008.5700000000002,1715.4099999999999,1655.8400000000004,0.62,193.26999999999998,1177.58,284.36999999999995,75.40972602739727,49.43627118644068,67.31163043478261,90.26475409836065,80.46565217391303,25.107178082191783,26.097627118644066,27.612717391304347,23.577868852459016,23.99445652173913,32.189232876712325,36.11186440677966,36.632173913043474,28.43934426229508,30.203369565217393,19.340657534246574,16.89271186440678,21.521195652173912,19.986967213114752,17.872934782608695,2.5453972602739725,1.9396610169491526,2.4011956521739135,3.2762295081967214,2.108913043478261
1990,1990-91,start,870022,4232,0.004864244812200151,declared million unit per hectare,Production Million Unit / Area Hectare,6671.38,1200.5700000000002,1876.4299999999998,1962.42,1631.96,1574.0700000000002,5.24,326.78000000000003,976.37,265.68,76.1347397260274,54.563559322033896,68.81380434782609,90.18647540983606,78.65554347826087,25.21849315068493,25.65949152542373,27.595,23.696229508196723,24.57782608695652,32.21632876712328,35.45779661016949,36.41739130434783,27.80016393442623,31.792717391304347,19.77871232876712,16.20423728813559,21.860108695652176,20.43262295081967,19.1225,2.6370684931506854,2.324406779661017,2.6819565217391306,3.1909836065573773,2.0581521739130437
1991,1991-92,start,863061,4641,0.005377371935471537,declared million unit per hectare,Production Million Unit / Area Hectare,6680.85,1176.22,2003.85,1855.8399999999997,1644.94,1737.74,0.0,20.04,1493.03,224.67,75.16501369863015,52.69254237288135,65.08565217391305,90.52590163934426,79.28619565217392,25.537123287671232,26.551694915254238,28.71695652173913,23.920081967213115,23.850978260869564,32.87465753424657,36.45745762711864,38.19380434782609,28.846885245901635,30.599021739130432,20.301698630136986,17.846101694915255,23.368478260869566,21.03090163934426,17.842717391304348,2.5353424657534247,2.0435593220338983,2.3525,3.220409836065574,2.1251086956521736
1992,1992-93,start,877012,5124,0.005842565438101189,declared million unit per hectare,Production Million Unit / Area Hectare,6750.120000000001,1213.75,2020.64,1918.25,1597.4800000000002,2172.4,0.29,234.2,1471.04,466.87,77.91882513661201,57.538500000000006,66.54836956521739,91.2783606557377,84.86489130434784,24.818770491803278,25.175333333333334,27.80097826086956,23.714508196721308,23.06836956521739,31.81789617486339,35.223333333333336,37.28554347826086,28.372131147540983,28.698695652173914,19.663688524590167,17.399,20.9075,21.256147540983605,17.785108695652173,2.6026502732240435,2.3406666666666665,2.1785869565217393,3.3329508196721314,2.2291304347826086
