Feature_Name,Dataset,Source,Original_Parameter,Temporal_Resolution,Aggregation,Period,Lag_Years,Unit,Description,Reason_for_Inclusion,Availability
Coconut_Productivity_DeclaredMillionUnit_per_Hectare,yearly_and_dynamic,Coconut annual CSV,Production Million Unit / Area Hectare,agricultural year,ratio,full agricultural year,0,declared million unit per hectare,Productivity ratio in the unverified production unit stated by the raw header.,Primary target; unit remains explicitly unresolved.,target at end of agricultural year
ALLSKY_SFC_SW_DWN_Annual_Total,yearly,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),Jan-Dec,0,MJ/m^2,All-sky surface shortwave downward irradiance,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
ALLSKY_SFC_SW_DWN_Jan_Feb_Total,yearly,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),"Jan,Feb",0,MJ/m^2,All-sky surface shortwave downward irradiance,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
ALLSKY_SFC_SW_DWN_Mar_May_Total,yearly,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),"Mar,Apr,May",0,MJ/m^2,All-sky surface shortwave downward irradiance,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
ALLSKY_SFC_SW_DWN_Jun_Sep_Total,yearly,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),"Jun,Jul,Aug,Sep",0,MJ/m^2,All-sky surface shortwave downward irradiance,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
ALLSKY_SFC_SW_DWN_Oct_Dec_Total,yearly,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),"Oct,Nov,Dec",0,MJ/m^2,All-sky surface shortwave downward irradiance,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
PRECTOTCORR_Annual_Total,yearly,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),Jan-Dec,0,mm,Corrected precipitation,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
PRECTOTCORR_Jan_Feb_Total,yearly,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),"Jan,Feb",0,mm,Corrected precipitation,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
PRECTOTCORR_Mar_May_Total,yearly,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),"Mar,Apr,May",0,mm,Corrected precipitation,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
PRECTOTCORR_Jun_Sep_Total,yearly,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),"Jun,Jul,Aug,Sep",0,mm,Corrected precipitation,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
PRECTOTCORR_Oct_Dec_Total,yearly,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),"Oct,Nov,Dec",0,mm,Corrected precipitation,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
RH2M_Annual_Mean,yearly,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,Jan-Dec,0,%,Relative humidity at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
RH2M_Jan_Feb_Mean,yearly,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,"Jan,Feb",0,%,Relative humidity at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
RH2M_Mar_May_Mean,yearly,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",0,%,Relative humidity at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
RH2M_Jun_Sep_Mean,yearly,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",0,%,Relative humidity at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
RH2M_Oct_Dec_Mean,yearly,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,"Oct,Nov,Dec",0,%,Relative humidity at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
