Agriculture Year,Area Hectare,Production Million Unit
1955-56,447952,3099
1956-57,459733,3132
1957-58,463282,3199
1958-59,475690,3248
1959-60,492550,3365
1960-61,500769,3220
1961-62,504829,3247
1962-63,539270,3305
1963-64,544896,3262
1964-65,558991,3278
1965-66,586313,3293
1966-67,609600,3425
1967-68,638700,3593
1968-69,686100,3834
1969-70,707800,3956
1970-71,719100,3981
1971-72,730300,4054
1972-73,745400,3921
1973-74,744300,3703
1974-75,748200,3719
1975-76,693000,3439
1976-77,694985,3343
1977-78,699119,3367
1978-79,660628,3211
1979-80,662657,3032
1980-81,651370,3008
1981-82,666618,3006
1982-83,674378,3184
1983-84,682281,2602
1984-85,687483,3453
1985-86,704682,3377
1986-87,706107,3173
1987-88,775365,3346
1988-89,816880,4215
1989-90,832174,4358
1990-91,870022,4232
1991-92,863061,4641
1992-93,877012,5124
1993-94,882293,5192
1994-95,910960,5336
1995-96,914370,5155
1996-97,902104,5276
1997-98,884344,5209
1998-99,882288,5132
1999-00,925035,5680
2000-01,925783,5536
2001-02,905718,5479
2002-03,899198,5709
2003-04,898498,5876
2004-05,899267,6001
2005-06,897833,6326
2006-07,872943,6054
2007-08,818812,5641
2008-09,787769,5802
2009-10,778618,5667
2010-11,770473,5287
2011-12,820867,5941
2012-13,798162,5799
2013-14,808647,5921
2014-15,793856,5947
2015-16,790223,5873
2016-17,781496,5384
2017-18,760443,5230
2018-19,760946,5299
2019-20,760776,4814
2020-21,768809,4788
2021-22,765435,5535
