Calendar_Year,Agriculture Year,Agriculture_Year_Anchor,Coconut_Area_Hectare,Coconut_Production_MillionUnit,Coconut_Productivity_DeclaredMillionUnit_per_Hectare,Coconut_Productivity_Unit,Coconut_Productivity_Formula
1955,1955-56,start,447952,3099,0.006918151944851234,declared million unit per hectare,Production Million Unit / Area Hectare
1956,1956-57,start,459733,3132,0.006812649951167308,declared million unit per hectare,Production Million Unit / Area Hectare
1957,1957-58,start,463282,3199,0.006905081570188352,declared million unit per hectare,Production Million Unit / Area Hectare
1958,1958-59,start,475690,3248,0.006827976202989342,declared million unit per hectare,Production Million Unit / Area Hectare
1959,1959-60,start,492550,3365,0.0068317937265252255,declared million unit per hectare,Production Million Unit / Area Hectare
1960,1960-61,start,500769,3220,0.006430110490066278,declared million unit per hectare,Production Million Unit / Area Hectare
1961,1961-62,start,504829,3247,0.006431880894322632,declared million unit per hectare,Production Million Unit / Area Hectare
1962,1962-63,start,539270,3305,0.006128655404528344,declared million unit per hectare,Production Million Unit / Area Hectare
1963,1963-64,start,544896,3262,0.005986463471928588,declared million unit per hectare,Production Million Unit / Area Hectare
1964,1964-65,start,558991,3278,0.00586413734747071,declared million unit per hectare,Production Million Unit / Area Hectare
1965,1965-66,start,586313,3293,0.005616454010059473,declared million unit per hectare,Production Million Unit / Area Hectare
1966,1966-67,start,609600,3425,0.005618438320209974,declared million unit per hectare,Production Million Unit / Area Hectare
1967,1967-68,start,638700,3593,0.005625489275090026,declared million unit per hectare,Production Million Unit / Area Hectare
1968,1968-69,start,686100,3834,0.0055881066899868825,declared million unit per hectare,Production Million Unit / Area Hectare
1969,1969-70,start,707800,3956,0.005589149477253461,declared million unit per hectare,Production Million Unit / Area Hectare
1970,1970-71,start,719100,3981,0.005536086775135586,declared million unit per hectare,Production Million Unit / Area Hectare
1971,1971-72,start,730300,4054,0.005551143365740107,declared million unit per hectare,Production Million Unit / Area Hectare
1972,1972-73,start,745400,3921,0.005260262946069225,declared million unit per hectare,Production Million Unit / Area Hectare
1973,1973-74,start,744300,3703,0.004975144431009002,declared million unit per hectare,Production Million Unit / Area Hectare
1974,1974-75,start,748200,3719,0.004970596097300187,declared million unit per hectare,Production Million Unit / Area Hectare
1975,1975-76,start,693000,3439,0.0049624819624819625,declared million unit per hectare,Production Million Unit / Area Hectare
1976,1976-77,start,694985,3343,0.004810175759189047,declared million unit per hectare,Production Million Unit / Area Hectare
1977,1977-78,start,699119,3367,0.004816061357222447,declared million unit per hectare,Production Million Unit / Area Hectare
