Feature,Lag_Years,Convention,Paired_Sample_Size,Temporal_Availability,Pearson_Correlation,Pearson_PValue,Spearman_Correlation,Spearman_PValue,FDR_PValue,Candidate_Lag,Selection_Rule,Original_Parameter,Dynamic_Selected,Dynamic_Selection_Rule
T2M_Jun_Sep_Mean,1,T2M_Jun_Sep_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.6007405453339055,4.1583139626455713e-05,0.5679174484052534,0.00013222939558784084,0.002618095119920038,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_Jun_Sep_Mean,2,T2M_Jun_Sep_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.6022362129333685,4.9868478474667396e-05,0.5657894736842106,0.00017422052125726624,0.002618095119920038,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_Jun_Sep_Mean,3,T2M_Jun_Sep_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.5318435663994802,0.0005895024234588349,0.5290513185250026,0.0006377695456014922,0.01583743905144934,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Jun_Sep_Mean,1,T2M_MIN_Jun_Sep_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.5157935081851405,0.0006581228329332737,0.4474671669793622,0.0037909256999272617,0.01583743905144934,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Jan_Feb_Total,3,ALLSKY_SFC_SW_DWN_Jan_Feb_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),35,previous-year information,0.5428143782879172,0.0007541637643547304,0.48263305322128847,0.003320536265979489,0.01583743905144934,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Annual_Total,1,ALLSKY_SFC_SW_DWN_Annual_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),37,previous-year information,-0.5134178387726851,0.0011548143521437535,-0.4850640113798008,0.00234372126542263,0.017474727804929154,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Jan_Feb_Total,1,ALLSKY_SFC_SW_DWN_Jan_Feb_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),37,previous-year information,0.512219864854681,0.0011913493094038849,0.48696064485538165,0.0022394968763561635,0.017474727804929154,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Mar_May_Mean,1,WS10M_Mar_May_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,-0.4899607130402545,0.001331407832756507,-0.5181988742964354,0.0006145670670610841,0.017474727804929154,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Mar_May_Mean,3,RH2M_Mar_May_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.4914583071224008,0.001727877918659,0.4938177043440201,0.0016284404760560278,0.020158575717688334,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Jun_Sep_Mean,1,WS10M_Jun_Sep_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,-0.4689213286700733,0.0022725159179240186,-0.4953095684803002,0.001155853252295574,0.023861417138202196,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Jan_Feb_Total,2,ALLSKY_SFC_SW_DWN_Jan_Feb_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),36,previous-year information,0.47992540864686006,0.003055817669418147,0.4710424710424711,0.003735950685618144,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Oct_Dec_Total,1,ALLSKY_SFC_SW_DWN_Oct_Dec_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),37,previous-year information,-0.47102418638097054,0.003256322356611213,-0.4217638691322902,0.009322462106982645,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Mar_May_Total,3,ALLSKY_SFC_SW_DWN_Mar_May_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),35,previous-year information,-0.47863447951846316,0.0036307660919488068,-0.5184873949579831,0.001418723856902948,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Annual_Total,2,ALLSKY_SFC_SW_DWN_Annual_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),36,previous-year information,-0.4701987927602369,0.003806900317975648,-0.4314028314028315,0.008614156639988095,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Jun_Sep_Mean,2,T2M_MIN_Jun_Sep_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.449585168355292,0.004086890517624034,0.35121457489878544,0.028354643542845982,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Mar_May_Mean,3,WS10M_Mar_May_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,-0.45358517071956905,0.004234953936510276,-0.4863770653244337,0.0019603553281197033,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Annual_Mean,1,WS10M_Annual_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,-0.4419406226301542,0.004302694922057028,-0.4808630393996248,0.0016846669824329191,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Annual_Total,3,ALLSKY_SFC_SW_DWN_Annual_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),35,previous-year information,-0.47016311798611043,0.004371993502956057,-0.4442577030812326,0.007504146252230147,0.025503295433910333,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Mar_May_Total,3,PRECTOTCORR_Mar_May_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.44602166030979257,0.005006163182044083,0.4128460444249918,0.009995407296690855,0.026865991189437645,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Annual_Mean,1,RH2M_Annual_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.4342238981435166,0.00511733165513098,0.39962476547842407,0.010626695415459988,0.026865991189437645,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Annual_Mean,3,RH2M_Annual_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.43909875141850263,0.005815736198517859,0.4386694386694387,0.005869462028320958,0.02907868099258929,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Mar_May_Mean,2,WS10M_Mar_May_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,-0.42429661205837454,0.007101925537407921,-0.4451417004048583,0.004517163016262728,0.03348287577053973,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Oct_Dec_Total,2,ALLSKY_SFC_SW_DWN_Oct_Dec_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),36,previous-year information,-0.43450869970966893,0.008096185041011028,-0.3238095238095239,0.05403509103697602,0.03348287577053973,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MAX_Jun_Sep_Mean,2,T2M_MAX_Jun_Sep_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.4176010944603197,0.008165506872330882,0.3222672064777328,0.045412367429643365,0.03348287577053973,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MAX,True,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Jun_Sep_Mean,2,WS10M_Jun_Sep_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,-0.4169277735756051,0.008279656173407372,-0.469838056680162,0.002545924619458122,0.03348287577053973,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
